atk_dmg,atk_cm,cr_dmg,cr_cm,cd_dmg,cd_cm,em_dmg,em_cm,er_dmg,er_cm
50777.15165224427,1.39,50956.51915994806,1.75,51587.83632805699,3.01,52022.30433852928,3.87,50081.7787577407,0.0
51472.524546747816,1.37,52195.97386503277,2.43,52827.2910331417,2.4,53909.42555743899,3.63,50081.7787577407,0.0
52167.89744125137,1.35,53468.13238266607,2.44,54099.449550774996,2.41,55745.31706800245,3.41,50081.7787577407,0.0
52863.270335754925,1.33,54772.99471284797,2.44,55404.3118809569,2.41,57532.03703421899,3.21,50081.7787577407,0.0
53558.643230258465,1.32,56110.56085557843,2.44,56741.87802368737,2.41,59271.53482746438,3.02,50081.7787577407,0.0
54254.016124762034,1.3,57480.8308108575,2.44,58112.14797896644,2.41,60965.658121082764,2.86,50081.7787577407,0.0
54949.38901926559,1.28,58883.80457868515,2.44,59515.121746794095,2.41,62616.159436942835,2.71,50081.7787577407,0.0
55644.76191376916,1.27,60319.48215906142,2.44,60950.79932717034,2.41,64224.702192719946,2.57,50081.7787577407,0.0
56340.1348082727,1.25,61787.86355198626,2.43,62419.180720095195,2.41,65792.86629377038,2.44,50081.7787577407,0.0
57035.50770277625,1.23,63288.94875745969,2.43,63920.265925568616,2.4,67322.15330911314,2.32,50081.7787577407,0.0
57730.88059727981,1.22,64822.7377754817,2.42,65454.054943590636,2.4,68813.99126716479,2.22,50081.7787577407,0.0
58426.25349178336,1.2,66389.23060605231,2.42,67020.54777416124,2.39,70269.73910342301,2.12,50081.7787577407,0.0
59121.6263862869,1.19,67988.4272491715,2.41,68619.74441728042,2.39,71690.69078921678,2.02,50081.7787577407,0.0
59816.99928079047,1.18,69271.26496830725,1.89,70251.64487294824,2.38,73078.07916788942,1.94,50081.7787577407,0.0
60512.37217529402,1.16,70260.79031017078,1.43,71916.24914116459,2.37,74433.07952231924,1.85,50081.7787577407,0.0
61207.74506979759,1.15,71250.31565203433,1.41,73229.36633576136,1.83,75756.81289547592,1.78,50081.7787577407,0.0
61903.11796430114,1.14,72239.84099389784,1.39,74218.89167762491,1.35,77050.3491837305,1.71,50081.7787577407,0.0
62598.49085880468,1.12,73229.36633576136,1.37,75208.41701948844,1.33,78314.71002085866,1.64,50081.7787577407,0.0
63293.86375330825,1.11,74218.89167762491,1.35,76197.94236135196,1.32,79550.87146907556,1.58,50081.7787577407,0.0
63989.23664781179,1.1,75208.41701948844,1.33,77187.46770321547,1.3,80759.76653199994,1.52,50081.7787577407,0.0
64684.60954231536,1.09,76197.94236135196,1.32,78176.99304507903,1.28,81942.28750314467,1.46,50081.7787577407,0.0
65379.98243681891,1.08,77187.46770321547,1.3,79166.51838694255,1.27,83099.28816235664,1.41,50081.7787577407,0.0
66075.35533132247,1.06,78176.99304507903,1.28,80156.04372880608,1.25,84231.58583156922,1.36,50081.7787577407,0.0
66770.72822582601,1.05,79166.51838694255,1.27,81145.5690706696,1.23,85339.96330026897,1.32,50081.7787577407,0.0
67466.10112032956,1.04,80156.04372880608,1.25,82135.09441253314,1.22,86425.17063020919,1.27,50081.7787577407,0.0
68161.47401483312,1.03,81145.5690706696,1.23,83124.61975439667,1.2,87487.92684811432,1.23,50081.7787577407,0.0
68856.84690933667,1.02,82135.09441253314,1.22,84114.14509626021,1.19,88528.92153440198,1.19,50081.7787577407,0.0
69552.21980384023,1.01,83124.61975439667,1.2,85103.67043812372,1.18,89548.81631529995,1.15,50081.7787577407,0.0
70247.5926983438,1.0,84114.14509626021,1.19,86093.19577998726,1.16,90548.24626514212,1.12,50081.7787577407,0.0
70942.96559284737,0.99,85103.67043812372,1.18,87082.7211218508,1.15,91527.82122508927,1.08,50081.7787577407,0.0
71638.3384873509,0.98,86093.19577998726,1.16,88072.24646371433,1.14,92488.12704402837,1.05,50081.7787577407,0.0
72333.71138185447,0.97,87082.7211218508,1.15,89061.77180557784,1.12,93429.7267469563,1.02,50081.7787577407,0.0
73029.08427635801,0.96,88072.24646371433,1.14,90051.29714744138,1.11,94353.16163574408,0.99,50081.7787577407,0.0
73724.45717086158,0.95,89061.77180557784,1.12,91040.82248930489,1.1,95258.95232680374,0.96,50081.7787577407,0.0
74419.83006536512,0.94,90051.29714744138,1.11,92030.34783116844,1.09,96147.59972983769,0.93,50081.7787577407,0.0
75115.2029598687,0.93,91040.82248930489,1.1,93019.87317303196,1.08,97019.58597153636,0.91,50081.7787577407,0.0
75810.57585437223,0.93,92030.34783116843,1.09,94009.39851489547,1.06,97875.37526780374,0.88,50081.7787577407,0.0
76505.94874887579,0.92,93019.87317303194,1.08,94998.92385675901,1.05,98715.41474782581,0.86,50081.7787577407,0.0
77201.32164337934,0.91,94009.39851489547,1.06,95988.44919862256,1.04,99540.13523305581,0.84,50081.7787577407,0.0
77896.6945378829,0.9,94998.92385675901,1.05,96977.97454048604,1.03,100349.95197396776,0.81,50081.7787577407,0.0
