atk_dmg,atk_cm,cr_dmg,cr_cm,cd_dmg,cd_cm,em_dmg,em_cm,er_dmg,er_cm
68668.50273654998,1.39,68911.07046224602,1.75,69764.83250433179,3.01,70352.38550396408,3.87,67728.1149055002,0.0
69608.89056759978,1.37,70587.2475623488,2.43,71441.0096044346,2.4,72904.43469081867,3.63,67728.1149055002,0.0
70549.27839864956,1.35,72307.65167732768,2.44,73161.41371941347,2.41,75387.20335969818,3.41,67728.1149055002,0.0
71489.66622969935,1.33,74072.28280718265,2.44,74926.04484926842,2.41,77803.47486956666,3.21,67728.1149055002,0.0
72430.05406074913,1.32,75881.14095191367,2.44,76734.90299399945,2.41,80155.88545363721,3.02,67728.1149055002,0.0
73370.44189179894,1.3,77734.22611152077,2.44,78587.98815360657,2.41,82446.93381374635,2.86,67728.1149055002,0.0
74310.8297228487,1.28,79631.53828600394,2.44,80485.30032808972,2.41,84678.98997359215,2.71,67728.1149055002,0.0
75251.2175538985,1.27,81573.0774753632,2.44,82426.83951744896,2.41,86854.30345677877,2.57,67728.1149055002,0.0
76191.60538494827,1.25,83558.84367959852,2.43,84412.6057216843,2.41,88975.01084898991,2.44,67728.1149055002,0.0
77131.99321599807,1.23,85588.83689870992,2.43,86442.5989407957,2.4,91043.14279773016,2.32,67728.1149055002,0.0
78072.38104704783,1.22,87663.05713269736,2.42,88516.81917478314,2.4,93060.6304978389,2.22,67728.1149055002,0.0
79012.76887809763,1.2,89781.50438156092,2.42,90635.26642364671,2.39,95029.31170631715,2.12,67728.1149055002,0.0
79953.15670914741,1.19,91944.17864530052,2.41,92797.9406873863,2.39,96950.93632584465,2.02,67728.1149055002,0.0
80893.5445401972,1.18,93679.024782995,1.89,95004.841966002,2.38,98827.17159264362,1.94,67728.1149055002,0.0
81833.93237124699,1.16,95017.20980193822,1.43,97255.97025949376,2.37,100659.60690101678,1.85,67728.1149055002,0.0
82774.32020229679,1.15,96355.39482088147,1.41,99031.76485876786,1.83,102449.75829390323,1.78,67728.1149055002,0.0
83714.70803334659,1.14,97693.5798398247,1.39,100369.9498777111,1.35,104199.07264611762,1.71,67728.1149055002,0.0
84655.09586439635,1.12,99031.76485876786,1.37,101708.13489665436,1.33,105908.93156453302,1.64,67728.1149055002,0.0
85595.48369544614,1.11,100369.9498777111,1.35,103046.31991559756,1.32,107580.65502730326,1.58,67728.1149055002,0.0
86535.87152649592,1.1,101708.13489665436,1.33,104384.50493454076,1.3,109215.50478227087,1.52,67728.1149055002,0.0
87476.2593575457,1.09,103046.31991559756,1.32,105722.68995348403,1.28,110814.68752294929,1.46,67728.1149055002,0.0
88416.6471885955,1.08,104384.50493454076,1.3,107060.87497242723,1.27,112379.35785887932,1.41,67728.1149055002,0.0
89357.0350196453,1.06,105722.68995348403,1.28,108399.05999137044,1.25,113910.62109572685,1.36,67728.1149055002,0.0
90297.42285069505,1.05,107060.87497242723,1.27,109737.24501031367,1.23,115409.53583918854,1.32,67728.1149055002,0.0
91237.81068174486,1.04,108399.05999137044,1.25,111075.4300292569,1.22,116877.11643559702,1.27,67728.1149055002,0.0
92178.19851279464,1.03,109737.24501031367,1.23,112413.61504820014,1.2,118314.33526105035,1.23,67728.1149055002,0.0
93118.58634384442,1.02,111075.4300292569,1.22,113751.80006714334,1.19,119722.12486992098,1.19,67728.1149055002,0.0
94058.9741748942,1.01,112413.61504820014,1.2,115089.98508608656,1.18,121101.38001272082,1.15,67728.1149055002,0.0
94999.36200594401,1.0,113751.80006714334,1.19,116428.1701050298,1.16,122452.95953249671,1.12,67728.1149055002,0.0
95939.74983699381,0.99,115089.98508608656,1.18,117766.35512397301,1.15,123777.688148203,1.08,67728.1149055002,0.0
96880.13766804356,0.98,116428.1701050298,1.16,119104.54014291623,1.14,125076.35813283239,1.05,67728.1149055002,0.0
97820.52549909338,0.97,117766.35512397301,1.15,120442.72516185943,1.12,126349.73089348002,1.02,67728.1149055002,0.0
98760.91333014314,0.96,119104.54014291623,1.14,121780.91018080268,1.11,127598.53845996247,0.99,67728.1149055002,0.0
99701.30116119294,0.95,120442.72516185943,1.12,123119.09519974589,1.1,128823.48488810705,0.96,67728.1149055002,0.0
100641.6889922427,0.94,121780.91018080268,1.11,124457.28021868913,1.09,130025.24758336383,0.93,67728.1149055002,0.0
101582.07682329249,0.93,123119.09519974589,1.1,125795.46523763234,1.08,131204.4785499687,0.91,67728.1149055002,0.0
102522.4646543423,0.93,124457.2802186891,1.09,127133.65025657554,1.06,132361.80557049785,0.88,67728.1149055002,0.0
103462.85248539208,0.92,125795.46523763234,1.08,128471.83527551877,1.05,133497.83332029692,0.86,67728.1149055002,0.0
104403.24031644184,0.91,127133.65025657552,1.06,129810.02029446198,1.04,134613.14442094238,0.84,67728.1149055002,0.0
105343.62814749165,0.9,128471.83527551872,1.05,131148.2053134052,1.03,135708.3004365902,0.81,67728.1149055002,0.0
