atk_dmg,atk_cm,cr_dmg,cr_cm,cd_dmg,cd_cm,em_dmg,em_cm,er_dmg,er_cm
34159.847706580105,1.16,34358.71930658435,1.75,34784.40084311936,3.01,35077.35186617984,3.87,33768.90350988066,0.0
34550.791903279576,1.14,35194.45292825417,2.43,35620.134464789175,2.4,36349.790983429855,3.63,33768.90350988066,0.0
34941.73609997901,1.13,36052.237921056396,2.44,36477.919457591415,2.41,37587.68717666848,3.41,33768.90350988066,0.0
35332.68029667847,1.12,36932.07428499105,2.44,37357.755821526065,2.41,38792.428214925196,3.21,33768.90350988066,0.0
35723.624493377916,1.11,37833.96202005812,2.44,38259.64355659314,2.41,39965.328511056854,3.02,33768.90350988066,0.0
36114.56869007737,1.09,38757.9011262576,2.44,39183.582662792636,2.41,41107.63390545537,2.86,33768.90350988066,0.0
36505.51288677683,1.08,39703.891603589516,2.44,40129.57314012453,2.41,42220.52608022852,2.71,33768.90350988066,0.0
36896.457083476285,1.07,40671.93345205384,2.44,41097.614988588844,2.41,43305.12663673251,2.57,33768.90350988066,0.0
37287.40128017573,1.06,41662.02667165057,2.43,42087.708208185584,2.41,44362.50086603433,2.44,33768.90350988066,0.0
37678.34547687518,1.05,42674.171262379736,2.43,43099.85279891473,2.4,45393.661238948225,2.32,33768.90350988066,0.0
38069.28967357463,1.04,43708.36722424129,2.42,44134.048760776306,2.4,46399.57063968086,2.22,33768.90350988066,0.0
38460.23387027409,1.03,44764.6145572353,2.42,45190.29609377031,2.39,47381.1453647943,2.12,33768.90350988066,0.0
38851.17806697354,1.02,45842.91326136169,2.41,46268.5947978967,2.39,48339.25790712,2.02,33768.90350988066,0.0
39242.12226367299,1.01,46707.89897534523,1.89,47368.944873155546,2.38,49274.739542402065,1.94,33768.90350988066,0.0
39633.06646037244,1.0,47375.11141505529,1.43,48491.346319546785,2.37,50188.38273478813,1.85,33768.90350988066,0.0
40024.01065707189,0.99,48042.32385476535,1.41,49376.74873418544,1.83,51080.94337579826,1.78,33768.90350988066,0.0
40414.95485377134,0.98,48709.5362944754,1.39,50043.9611738955,1.35,51953.14287006737,1.71,33768.90350988066,0.0
40805.8990504708,0.97,49376.74873418544,1.37,50711.173613605555,1.33,52805.67007995712,1.64,33768.90350988066,0.0
41196.843247170254,0.96,50043.9611738955,1.35,51378.386053315604,1.32,53639.18314005423,1.58,33768.90350988066,0.0
41587.787443869696,0.95,50711.173613605555,1.33,52045.598493025645,1.3,54454.31115159984,1.52,33768.90350988066,0.0
41978.73164056915,0.94,51378.386053315604,1.32,52712.81093273571,1.28,55251.655766018615,1.46,33768.90350988066,0.0
42369.67583726861,0.93,52045.598493025645,1.3,53380.023372445765,1.27,56031.79266592371,1.41,33768.90350988066,0.0
42760.62003396805,0.92,52712.81093273571,1.28,54047.23581215582,1.25,56795.27295125988,1.36,33768.90350988066,0.0
43151.56423066751,0.91,53380.023372445765,1.27,54714.44825186586,1.23,57542.62443759786,1.32,33768.90350988066,0.0
43542.50842736696,0.91,54047.23581215582,1.25,55381.66069157591,1.22,58274.35287300817,1.27,33768.90350988066,0.0
43933.452624066405,0.9,54714.44825186586,1.23,56048.87313128597,1.2,58990.94307940967,1.23,33768.90350988066,0.0
44324.396820765876,0.89,55381.66069157591,1.22,56716.085570996016,1.19,59692.8600238056,1.19,33768.90350988066,0.0
44715.341017465325,0.88,56048.87313128597,1.2,57383.29801070606,1.18,60380.54982438106,1.15,33768.90350988066,0.0
45106.28521416477,0.87,56716.085570996016,1.19,58050.51045041612,1.16,61054.44069603642,1.12,33768.90350988066,0.0
45497.22941086423,0.87,57383.29801070606,1.18,58717.722890126184,1.15,61714.943839568194,1.08,33768.90350988066,0.0
45888.17360756368,0.86,58050.51045041612,1.16,59384.93532983623,1.14,62362.45427837662,1.05,33768.90350988066,0.0
46279.11780426313,0.85,58717.722890126184,1.15,60052.147769546275,1.12,62997.35164627794,1.02,33768.90350988066,0.0
46670.06200096258,0.84,59384.93532983623,1.14,60719.36020925632,1.11,63620.00092972241,0.99,33768.90350988066,0.0
47061.006197662035,0.84,60052.147769546275,1.12,61386.57264896638,1.1,64230.753167467454,0.96,33768.90350988066,0.0
47451.95039436148,0.83,60719.36020925632,1.11,62053.785088676435,1.09,64829.946110524026,0.93,33768.90350988066,0.0
47842.89459106094,0.82,61386.57264896638,1.1,62720.997528386484,1.08,65417.904844983204,0.91,33768.90350988066,0.0
48233.8387877604,0.82,62053.78508867642,1.09,63388.20996809654,1.06,65994.94238013616,0.88,33768.90350988066,0.0
48624.782984459845,0.81,62720.99752838648,1.08,64055.422407806574,1.05,66561.36020412312,0.86,33768.90350988066,0.0
49015.727181159295,0.8,63388.20996809652,1.06,64722.63484751663,1.04,67117.44880918389,0.84,33768.90350988066,0.0
49406.67137785874,0.8,64055.42240780657,1.05,65389.84728722667,1.03,67663.48818843246,0.81,33768.90350988066,0.0
