atk_dmg,atk_cm,cr_dmg,cr_cm,cd_dmg,cd_cm,em_dmg,em_cm,er_dmg,er_cm
28755.29057372323,1.53,28815.31153335994,1.75,29172.313957687937,3.01,28320.656136642156,0.0,28320.656136642156,0.0
29189.925010804305,1.51,29516.208573567837,2.43,29873.21099789584,2.4,28320.656136642156,0.0,28320.656136642156,0.0
29624.559447885375,1.49,30235.59923465981,2.44,30592.601658987805,2.41,28320.656136642156,0.0,28320.656136642156,0.0
30059.193884966455,1.47,30973.483516635864,2.44,31330.48594096386,2.41,28320.656136642156,0.0,28320.656136642156,0.0
30493.828322047528,1.45,31729.86141949599,2.44,32086.863843823983,2.41,28320.656136642156,0.0,28320.656136642156,0.0
30928.4627591286,1.43,32504.73294324019,2.44,32861.73536756819,2.41,28320.656136642156,0.0,28320.656136642156,0.0
31363.097196209677,1.41,33298.098087868464,2.44,33655.10051219646,2.41,28320.656136642156,0.0,28320.656136642156,0.0
31797.731633290754,1.39,34109.95685338082,2.44,34466.95927770882,2.41,28320.656136642156,0.0,28320.656136642156,0.0
32232.366070371827,1.37,34940.30923977725,2.43,35297.31166410525,2.41,28320.656136642156,0.0,28320.656136642156,0.0
32667.000507452904,1.35,35789.15524705776,2.43,36146.15767138576,2.4,28320.656136642156,0.0,28320.656136642156,0.0
33101.63494453398,1.33,36656.49487522233,2.42,37013.497299550334,2.4,28320.656136642156,0.0,28320.656136642156,0.0
33536.26938161506,1.31,37542.328124271,2.42,37899.330548599,2.39,28320.656136642156,0.0,28320.656136642156,0.0
33970.903818696126,1.3,38446.65499420372,2.41,38803.65741853172,2.39,28320.656136642156,0.0,28320.656136642156,0.0
34405.5382557772,1.28,39172.08461798965,1.89,39726.477909348534,2.38,28320.656136642156,0.0,28320.656136642156,0.0
34840.17269285828,1.26,39731.64954640344,1.43,40667.79202104941,2.37,28320.656136642156,0.0,28320.656136642156,0.0
35274.80712993935,1.25,40291.21447481723,1.41,41410.3443316448,1.83,28320.656136642156,0.0,28320.656136642156,0.0
35709.441567020425,1.23,40850.77940323102,1.39,41969.90926005859,1.35,28320.656136642156,0.0,28320.656136642156,0.0
36144.0760041015,1.22,41410.3443316448,1.37,42529.47418847238,1.33,28320.656136642156,0.0,28320.656136642156,0.0
36578.71044118258,1.2,41969.90926005859,1.35,43089.03911688616,1.32,28320.656136642156,0.0,28320.656136642156,0.0
37013.344878263655,1.19,42529.47418847238,1.33,43648.60404529995,1.3,28320.656136642156,0.0,28320.656136642156,0.0
37447.97931534473,1.17,43089.03911688616,1.32,44208.168973713735,1.28,28320.656136642156,0.0,28320.656136642156,0.0
37882.61375242581,1.16,43648.60404529995,1.3,44767.733902127526,1.27,28320.656136642156,0.0,28320.656136642156,0.0
38317.24818950687,1.15,44208.168973713735,1.28,45327.29883054131,1.25,28320.656136642156,0.0,28320.656136642156,0.0
38751.88262658795,1.13,44767.733902127526,1.27,45886.8637589551,1.23,28320.656136642156,0.0,28320.656136642156,0.0
39186.51706366902,1.12,45327.29883054131,1.25,46446.42868736889,1.22,28320.656136642156,0.0,28320.656136642156,0.0
39621.15150075011,1.11,45886.8637589551,1.23,47005.99361578267,1.2,28320.656136642156,0.0,28320.656136642156,0.0
40055.78593783118,1.1,46446.42868736889,1.22,47565.558544196465,1.19,28320.656136642156,0.0,28320.656136642156,0.0
40490.42037491225,1.09,47005.99361578267,1.2,48125.12347261024,1.18,28320.656136642156,0.0,28320.656136642156,0.0
40925.05481199334,1.07,47565.558544196465,1.19,48684.68840102403,1.16,28320.656136642156,0.0,28320.656136642156,0.0
41359.6892490744,1.06,48125.12347261024,1.18,49244.253329437815,1.15,28320.656136642156,0.0,28320.656136642156,0.0
41794.323686155476,1.05,48684.68840102403,1.16,49803.818257851606,1.14,28320.656136642156,0.0,28320.656136642156,0.0
42228.958123236545,1.04,49244.253329437815,1.15,50363.38318626539,1.12,28320.656136642156,0.0,28320.656136642156,0.0
42663.59256031763,1.03,49803.818257851606,1.14,50922.94811467918,1.11,28320.656136642156,0.0,28320.656136642156,0.0
43098.226997398706,1.02,50363.38318626539,1.12,51482.513043092964,1.1,28320.656136642156,0.0,28320.656136642156,0.0
43532.86143447978,1.01,50922.94811467918,1.11,52042.077971506755,1.09,28320.656136642156,0.0,28320.656136642156,0.0
43967.49587156084,1.0,51482.513043092964,1.1,52601.64289992053,1.08,28320.656136642156,0.0,28320.656136642156,0.0
44402.13030864193,0.99,52042.077971506755,1.09,53161.20782833433,1.06,28320.656136642156,0.0,28320.656136642156,0.0
44836.764745723,0.98,52601.64289992053,1.08,53720.772756748105,1.05,28320.656136642156,0.0,28320.656136642156,0.0
45271.399182804074,0.97,53161.20782833432,1.06,54280.337685161896,1.04,28320.656136642156,0.0,28320.656136642156,0.0
45706.03361988515,0.96,53720.7727567481,1.05,54839.90261357567,1.03,28320.656136642156,0.0,28320.656136642156,0.0
