atk_dmg,atk_cm,cr_dmg,cr_cm,cd_dmg,cd_cm,em_dmg,em_cm,er_dmg,er_cm
14080.809792974891,1.74,14024.10682234107,1.33,14194.457841199888,2.56,14239.160766299963,2.89,13917.66977925378,0.56
14321.875338131242,1.71,14311.924455556917,2.05,14482.27547441574,2.03,14628.269543575881,2.73,13995.59531068903,0.56
14562.940883287596,1.68,14611.92845494871,2.1,14782.27947380753,2.07,15007.464514292618,2.59,14073.520842124275,0.56
14804.006428443947,1.66,14924.118820516442,2.14,15094.469839375259,2.11,15377.119792076439,2.46,14151.446373559525,0.55
15045.071973600303,1.63,15248.49555226011,2.17,15418.846571118931,2.15,15737.59090067789,2.34,14229.37190499477,0.55
15286.137518756657,1.6,15585.05865017972,2.21,15755.409669038541,2.18,16089.215914477909,2.23,14307.297436430019,0.55
15527.203063913012,1.58,15933.808114275269,2.24,16104.159133134088,2.21,16432.316516046434,2.13,14385.222967865264,0.54
15768.268609069364,1.55,16294.743944546753,2.27,16465.094963405576,2.24,16767.19897770721,2.04,14463.148499300512,0.54
16009.334154225717,1.53,16667.866140994185,2.29,16838.217159853004,2.27,17094.155073404414,1.95,14541.074030735756,0.54
16250.39969938207,1.51,17053.17470361755,2.31,17223.525722476366,2.29,17413.462926577362,1.87,14618.999562171008,0.54
16491.465244538427,1.48,17450.66963241686,2.33,17621.020651275678,2.31,17725.387799221968,1.79,14696.925093606253,0.53
16732.530789694778,1.46,17860.3509273921,2.35,18030.70194625092,2.32,18030.182826844197,1.72,14774.8506250415,0.53
16973.596334851132,1.44,18282.218588543285,2.36,18452.569607402107,2.34,18328.08970358514,1.65,14852.77615647675,0.53
17214.661880007487,1.42,18716.27261587041,2.37,18886.62363472923,2.35,18619.339321415147,1.59,14930.701687911996,0.52
17455.72742516384,1.4,19162.51300937347,2.38,19332.864028232292,2.36,18904.15236694965,1.53,15008.627219347243,0.52
17696.79297032019,1.38,19620.93976905248,2.39,19791.2907879113,2.37,19182.73987912883,1.47,15086.55275078249,0.52
17937.858515476546,1.36,20091.552894907418,2.4,20261.903913766237,2.38,19455.303770722825,1.42,15164.478282217733,0.52
18178.924060632904,1.34,20574.352386938303,2.4,20744.70340579712,2.38,19722.03731637077,1.37,15242.403813652983,0.51
18419.98960578925,1.33,21069.338245145125,2.41,21239.689264003944,2.39,19983.125609632698,1.32,15320.329345088234,0.51
18661.05515094561,1.31,21576.510469527886,2.41,21746.8614883867,2.39,20238.745991325657,1.28,15398.254876523479,0.51
18902.120696101963,1.29,22095.869060086585,2.41,22266.220078945404,2.39,20489.068451227035,1.24,15476.180407958725,0.51
19143.186241258314,1.28,22627.414016821225,2.41,22797.765035680048,2.39,20734.256005057345,1.2,15554.105939393972,0.5
19384.25178641467,1.26,23171.145339731804,2.4,23341.496358590626,2.39,20974.465048499107,1.16,15632.031470829217,0.5
19625.317331571026,1.24,23727.06302881832,2.4,23897.414047677143,2.38,21209.845689867587,1.12,15709.957002264468,0.5
19866.382876727377,1.23,24295.167084080782,2.39,24465.518102939594,2.38,21440.54206292024,1.09,15787.88253369971,0.5
20107.44842188373,1.21,24875.457505519178,2.39,25045.808524377997,2.37,21666.69262117465,1.05,15865.808065134961,0.49
20348.513967040082,1.2,25467.93429313351,2.38,25638.285311992324,2.37,21888.43041499785,1.02,15943.733596570208,0.49
20589.579512196444,1.18,26072.597446923788,2.37,26242.948465782607,2.36,22105.88335263219,0.99,16021.659128005456,0.49
20830.64505735279,1.17,26689.44696689,2.37,26859.797985748824,2.35,22319.174446233934,0.96,16099.584659440705,0.49
21071.710602509145,1.16,27318.482853032157,2.36,27488.83387189098,2.34,22528.422043918796,0.94,16177.51019087595,0.48
21312.776147665496,1.14,27959.70510535025,2.35,28130.056124209073,2.33,22733.740048734402,0.91,16255.435722311197,0.48
21553.841692821854,1.13,28613.113723844286,2.34,28783.464742703105,2.32,22935.23812541076,0.89,16333.361253746441,0.48
21794.907237978205,1.12,29278.70870851426,2.33,29449.059727373075,2.31,23133.02189567742,0.86,16411.286785181688,0.48
22035.972783134555,1.11,29956.490059360163,2.31,30126.841078218986,2.3,23327.193122878107,0.84,16489.21231661694,0.47
22277.038328290917,1.09,30646.45777638202,2.3,30816.808795240842,2.29,23517.84988656093,0.82,16567.137848052185,0.47
22518.103873447264,1.08,31348.611859579803,2.29,31518.96287843863,2.28,23705.086747673402,0.8,16645.06337948743,0.47
22759.169418603626,1.07,32062.95230895353,2.28,32233.303327812348,2.27,23888.994904947038,0.78,16722.988910922675,0.47
23000.234963759973,1.06,32789.479124503196,2.27,32959.83014336202,2.25,24069.662343014654,0.76,16800.91444235792,0.47
23241.30050891633,1.05,33528.192306228804,2.25,33698.54332508763,2.24,24247.17397276609,0.74,16878.839973793172,0.46
23482.366054072678,1.04,34279.091854130354,2.24,34449.44287298917,2.23,24421.611764412544,0.72,16956.765505228417,0.46
