atk_dmg,atk_cm,cr_dmg,cr_cm,cd_dmg,cd_cm,em_dmg,em_cm,er_dmg,er_cm
24506.68718818362,1.33,24507.126366581015,1.33,24804.814768326374,2.56,24882.933128965076,2.89,24301.976736642464,0.48
24828.421604748746,1.31,25010.08767435673,2.05,25307.776076102105,2.03,25562.90070877954,2.73,24419.00070166642,0.48
25150.15602131387,1.3,25534.34465675948,2.1,25832.033058504843,2.07,26225.543911847766,2.59,24536.024666690384,0.48
25471.890437878996,1.28,26079.89731378925,2.14,26377.58571553462,2.11,26871.51650172351,2.46,24653.04863171434,0.48
25793.624854444115,1.26,26646.745645446044,2.17,26944.434047191407,2.15,27501.439756153093,2.34,24770.0725967383,0.47
26115.359271009238,1.25,27234.88965172986,2.21,27532.578053475223,2.18,28115.904460109865,2.23,24887.096561762264,0.47
26437.09368757437,1.23,27844.329332640697,2.24,28142.017734386056,2.21,28715.47275387776,2.13,25004.12052678622,0.47
26758.828104139484,1.22,28475.06468817855,2.27,28772.753089923917,2.24,29300.679848335873,2.04,25121.144491810184,0.47
27080.562520704614,1.2,29127.095718343433,2.29,29424.78412008879,2.27,29872.035618445283,1.95,25238.168456834148,0.47
27402.296937269737,1.19,29800.42242313534,2.31,30098.110824880692,2.29,30430.02608491014,1.87,25355.192421858104,0.46
27724.031353834864,1.17,30495.04480255426,2.33,30792.733204299617,2.31,30975.114793062538,1.79,25472.216386882068,0.46
28045.765770399983,1.16,31210.9628566002,2.35,31508.651258345573,2.32,31507.74409719362,1.72,25589.240351906024,0.46
28367.500186965102,1.15,31948.176585273173,2.36,32245.864987018536,2.34,32028.336357809687,1.65,25706.264316929984,0.46
28689.23460353023,1.13,32706.68598857316,2.37,33004.374390318524,2.35,32537.2950586239,1.59,25823.288281953948,0.46
29010.969020095356,1.12,33486.49106650017,2.38,33784.17946824554,2.36,33035.005849491914,1.53,25940.312246977905,0.45
29332.703436660482,1.11,34287.59181905421,2.39,34585.28022079957,2.37,33521.837520957095,1.47,26057.336212001865,0.45
29654.437853225605,1.1,35109.98824623526,2.4,35407.67664798062,2.38,33998.14291558087,1.42,26174.360177025832,0.45
29976.172269790724,1.08,35953.680348043345,2.4,36251.36874978871,2.38,34464.25978079091,1.37,26291.38414204979,0.45
30297.906686355844,1.07,36818.66812447845,2.41,37116.356526223804,2.39,34920.51156757936,1.32,26408.408107073752,0.45
30619.641102920967,1.06,37704.951575540574,2.41,38002.63997728593,2.39,35367.208179020105,1.28,26525.432072097712,0.44
30941.375519486104,1.05,38612.53070122971,2.41,38910.21910297507,2.39,35804.64667224548,1.24,26642.45603712167,0.44
31263.109936051223,1.04,39541.40550154589,2.41,39839.09390329124,2.39,36233.1119172235,1.2,26759.480002145632,0.44
31584.844352616346,1.03,40491.57597648907,2.4,40789.26437823443,2.39,36652.87721540597,1.16,26876.50396716959,0.44
31906.578769181466,1.02,41463.04212605928,2.4,41760.73052780464,2.38,37064.20488107055,1.12,26993.52793219355,0.44
32228.313185746585,1.01,42455.803950256515,2.39,42753.49235200188,2.38,37467.34678795524,1.09,27110.551897217516,0.43
32550.047602311723,1.0,43469.86144908077,2.39,43767.54985082612,2.37,37862.54488357902,1.05,27227.575862241472,0.43
32871.78201887684,0.99,44505.21462253205,2.38,44802.9030242774,2.37,38250.03167345537,1.02,27344.59982726544,0.43
33193.51643544196,0.98,45561.86347061034,2.37,45859.55187235571,2.36,38630.03067723503,0.99,27461.623792289392,0.43
33515.25085200709,0.97,46639.807993315655,2.37,46937.496395061025,2.35,39002.75685865837,0.96,27578.647757313356,0.43
33836.98526857221,0.96,47739.048190648005,2.36,48036.73659239336,2.34,39368.41703105503,0.94,27695.671722337316,0.42
34158.719685137345,0.95,48574.61493791817,1.75,49157.272464352725,2.33,39727.21023999827,0.91,27812.695687361273,0.42
34480.45410170246,0.94,49218.9621278432,1.33,50299.104010939125,2.32,40079.32812460136,0.89,27929.719652385236,0.42
34802.18851826758,0.93,49863.30931776823,1.31,51152.003697618275,1.7,40424.9552588344,0.86,28046.743617409204,0.42
35123.922934832706,0.92,50507.65650769327,1.29,51796.3508875433,1.26,40764.269474138346,0.84,28163.767582433156,0.42
35445.65735139783,0.92,51152.003697618275,1.28,52440.698077468325,1.24,41097.44216452136,0.82,28280.79154745712,0.42
35767.39176796297,0.91,51796.3508875433,1.26,53085.045267393354,1.23,41424.63857523719,0.8,28397.81551248108,0.41
36089.12618452808,0.9,52440.698077468325,1.24,53729.392457318376,1.21,41746.018076067165,0.78,28514.839477505044,0.41
36410.8606010932,0.89,53085.045267393354,1.23,54373.7396472434,1.2,42061.73442015518,0.76,28631.863442528997,0.41
36732.59501765833,0.88,53729.392457318376,1.21,55018.08683716843,1.19,42371.93598927943,0.74,28748.887407552953,0.41
37054.32943422345,0.88,54373.7396472434,1.2,55662.43402709345,1.17,42676.766026382174,0.72,28865.911372576917,0.41
